Run # 0
======
iter 0 : [0.5049369211000895, 0.8896103896103896, 0.7055045871559633, 0.5920529012272131, (411, 321, 769, 51)]
iter 1 : [0.5613700128516933, 0.9415584415584416, 0.791743119266055, 0.5749076611461933, (435, 227, 863, 27)]
iter 2 : [0.5450834029094508, 0.9437229437229437, 0.7688073394495413, 0.5874578021367013, (436, 252, 838, 26)]
iter 3 : [0.5462680531394221, 0.9458874458874459, 0.7706422018348624, 0.5876226220262918, (437, 250, 840, 25)]
iter 4 : [0.7025723969460026, 0.9956709956709957, 0.9935779816513761, 0.5010465070098098, (460, 7, 1083, 2)]
iter 5 : [0.5201120516431426, 0.9047619047619048, 0.7293577981651376, 0.5877020532983835, (418, 295, 795, 44)]
iter 6 : [0.5639578921389545, 0.9415584415584416, 0.7954128440366972, 0.5730727987608721, (435, 223, 867, 27)]
iter 7 : [0.6438463835792928, 0.9502164502164502, 0.9091743119266055, 0.5205210691449224, (439, 99, 991, 23)]
iter 8 : [0.6615593943889231, 0.9632034632034632, 0.9348623853211009, 0.5141705389411811, (445, 71, 1019, 17)]
iter 9 : [0.6341681978218179, 0.935064935064935, 0.8944954128440367, 0.5202847611104492, (432, 115, 975, 30)]
iter 10 : [0.586257966691181, 0.9069264069264069, 0.8238532110091743, 0.5415365979586163, (419, 192, 898, 43)]
iter 11 : [0.6341633212108229, 0.9696969696969697, 0.8963302752293578, 0.536683347233806, (448, 113, 977, 14)]
iter 12 : [0.6164796311520827, 0.9393939393939394, 0.8697247706422019, 0.5348345843758688, (434, 142, 948, 28)]
iter 13 : [0.6156421055065818, 0.9307359307359307, 0.8678899082568807, 0.5314230112395251, (430, 144, 946, 32)]
iter 14 : [0.5564901828842234, 0.8939393939393939, 0.7798165137614679, 0.5570614400889631, (413, 240, 850, 49)]
iter 15 : [0.6794203695661394, 0.9761904761904762, 0.9605504587155963, 0.5078200087374399, (451, 43, 1047, 11)]
iter 16 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 17 : [0.5988280243646247, 0.9588744588744589, 0.8458715596330275, 0.5565014496207157, (443, 168, 922, 19)]
iter 18 : [0.6054785244853454, 0.9393939393939394, 0.8541284403669724, 0.5426327495134835, (434, 159, 931, 28)]
iter 19 : [0.6653360743226726, 0.9675324675324676, 0.9403669724770642, 0.5135827475277017, (447, 65, 1025, 15)]
iter 20 : [0.5486180312936144, 0.9025974025974026, 0.7697247706422018, 0.5664363159776005, (417, 251, 839, 45)]
iter 21 : [0.5750057176817108, 0.8593073593073594, 0.8009174311926606, 0.5291949640573494, (397, 217, 873, 65)]
iter 22 : [0.6808000011149818, 0.9718614718614719, 0.9623853211009175, 0.5047380753802773, (449, 41, 1049, 13)]
iter 23 : [0.6891125587622617, 0.9783549783549783, 0.9743119266055046, 0.5020215258747368, (452, 28, 1062, 10)]
iter 24 : [0.6942403289735383, 0.9826839826839827, 0.981651376146789, 0.5005163032685969, (454, 20, 1070, 8)]
iter 25 : [0.6987002197021301, 0.9913419913419913, 0.9880733944954129, 0.5016342984232892, (458, 13, 1077, 4)]
iter 26 : [0.7007014744374034, 0.9848484848484849, 0.9908256880733946, 0.49701139838754516, (455, 10, 1080, 7)]
iter 27 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 28 : [0.6922944670838201, 0.9826839826839827, 0.9788990825688073, 0.5018924500575878, (454, 23, 1067, 8)]
iter 29 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
Run # 1
======
iter 0 : [0.6949176036753203, 0.9805194805194806, 0.9825688073394495, 0.49897533659001553, (453, 19, 1071, 9)]
iter 1 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 2 : [0.6936524986429807, 0.9783549783549783, 0.9807339449541285, 0.4988105167004249, (452, 21, 1069, 10)]
iter 3 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 4 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 5 : [0.6813298391889188, 0.9783549783549783, 0.963302752293578, 0.5075261130307002, (452, 40, 1050, 10)]
iter 6 : [0.6684358439228827, 0.974025974025974, 0.944954128440367, 0.5145359227928036, (450, 60, 1030, 12)]
iter 7 : [0.6655754476611003, 0.9588744588744589, 0.9403669724770642, 0.5092537431986973, (443, 65, 1025, 19)]
iter 8 : [0.6790047589434075, 0.9653679653679653, 0.9596330275229358, 0.5028674689225148, (446, 44, 1046, 16)]
iter 9 : [0.6968348141305898, 0.9826839826839827, 0.9853211009174312, 0.49868144088327576, (454, 16, 1074, 8)]
iter 10 : [0.6851596549078862, 0.9826839826839827, 0.9688073394495413, 0.5069383216172206, (454, 34, 1056, 8)]
iter 11 : [0.6968633878144157, 0.9805194805194806, 0.9853211009174312, 0.4975991898010247, (453, 16, 1074, 9)]
iter 12 : [0.6891125587622617, 0.9783549783549783, 0.9743119266055046, 0.5020215258747368, (452, 28, 1062, 10)]
iter 13 : [0.6828414003019315, 0.9675324675324676, 0.9651376146788991, 0.5011974264267842, (447, 38, 1052, 15)]
iter 14 : [0.6511444726296091, 0.9458874458874459, 0.9192660550458716, 0.5133106954207872, (437, 88, 1002, 25)]
iter 15 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 16 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
iter 17 : [0.7071067811865475, 1.0, 1.0, 0.5, (462, 0, 1090, 0)]
