Run # 0
======
iter 0 : [0.5122160555248967, 0.9472843450479234, 0.7224622030237581, 0.6124110710120827, (593, 257, 669, 33)]
iter 1 : [0.4888412695956348, 0.9313099041533547, 0.6879049676025918, 0.6217024682753814, (583, 289, 637, 43)]
iter 2 : [0.48269870864504194, 0.9440894568690096, 0.6803455723542117, 0.631871942257399, (591, 296, 630, 35)]
iter 3 : [0.403020753813977, 0.8706070287539937, 0.5550755939524838, 0.6577657174007548, (545, 412, 514, 81)]
iter 4 : [0.4786257307274977, 0.9488817891373802, 0.6749460043196545, 0.6369678924088629, (594, 301, 625, 32)]
iter 5 : [0.5014717213996887, 0.9488817891373802, 0.7073434125269978, 0.6207691883051911, (594, 271, 655, 32)]
iter 6 : [0.5273703926938244, 0.9488817891373802, 0.744060475161987, 0.6024106569876966, (594, 237, 689, 32)]
iter 7 : [0.45898376787539436, 0.9345047923322684, 0.6457883369330454, 0.6443582276996115, (585, 328, 598, 41)]
iter 8 : [0.46814627245593804, 0.9456869009584664, 0.6598272138228942, 0.6429298435677862, (592, 315, 611, 34)]
iter 9 : [0.40179244269769343, 0.8690095846645367, 0.5529157667386609, 0.6580469089629378, (544, 414, 512, 82)]
iter 10 : [0.4706192489340628, 0.9424920127795527, 0.6630669546436285, 0.639712529067962, (590, 312, 614, 36)]
iter 11 : [0.37946106669875446, 0.805111821086262, 0.5, 0.652555910543131, (504, 463, 463, 122)]
iter 12 : [0.4887873542597412, 0.9440894568690096, 0.6889848812095032, 0.6275522878297533, (591, 288, 638, 35)]
iter 13 : [0.4795627979920624, 0.9456869009584664, 0.6760259179265659, 0.6348304915159503, (592, 300, 626, 34)]
iter 14 : [0.3934226882240155, 0.889776357827476, 0.5453563714902808, 0.6722099931685976, (557, 421, 505, 69)]
iter 15 : [0.4634308100128109, 0.9361022364217252, 0.652267818574514, 0.6419172089236056, (586, 322, 604, 40)]
iter 16 : [0.44964116023936057, 0.9376996805111821, 0.6328293736501079, 0.652435153430537, (587, 340, 586, 39)]
iter 17 : [0.4597434914080152, 0.9345047923322684, 0.6468682505399568, 0.6438182708961557, (585, 327, 599, 41)]
iter 18 : [0.47060873970208483, 0.9313099041533547, 0.661987041036717, 0.6346614315583188, (583, 313, 613, 43)]
iter 19 : [0.4982017663068739, 0.939297124600639, 0.7019438444924406, 0.6186766400540992, (588, 276, 650, 38)]
iter 20 : [0.5677295714148213, 0.9712460063897763, 0.8023758099352052, 0.5844350982272856, (608, 183, 743, 18)]
iter 21 : [0.47755589736534004, 0.9201277955271565, 0.6706263498920086, 0.6247507228175739, (576, 305, 621, 50)]
iter 22 : [0.46056123328922605, 0.9073482428115016, 0.6447084233261339, 0.6313199097426838, (568, 329, 597, 58)]
iter 23 : [0.5254244031715264, 0.9584664536741214, 0.7419006479481641, 0.6082829028629786, (600, 239, 687, 26)]
iter 24 : [0.49916196201355395, 0.9361022364217252, 0.703023758099352, 0.6165392391611866, (586, 275, 651, 40)]
iter 25 : [0.5351462161855697, 0.9456869009584664, 0.7548596112311015, 0.5954136448636824, (592, 227, 699, 34)]
iter 26 : [0.4847564750096654, 0.9249201277955271, 0.6814254859611231, 0.621747320917202, (579, 295, 631, 47)]
iter 27 : [0.5589740572015904, 0.9584664536741214, 0.7894168466522679, 0.5845248035109267, (600, 195, 731, 26)]
iter 28 : [0.5269379865993923, 0.9424920127795527, 0.7429805615550756, 0.5997557256122386, (590, 238, 688, 36)]
iter 29 : [0.5306714184526979, 0.9201277955271565, 0.7462203023758099, 0.5869537465756733, (576, 235, 691, 50)]
Run # 1
======
iter 0 : [0.5045182813085591, 0.9488817891373802, 0.7116630669546437, 0.6186093610913683, (594, 267, 659, 32)]
iter 1 : [0.5097107267423985, 0.9376996805111821, 0.7181425485961123, 0.609778565957535, (587, 261, 665, 39)]
iter 2 : [0.4574416277385245, 0.9249201277955271, 0.642548596112311, 0.6411857658416081, (579, 331, 595, 47)]
iter 3 : [0.46812134830883656, 0.9153354632587859, 0.6565874730021598, 0.629373995128313, (573, 318, 608, 53)]
iter 4 : [0.5202677341955885, 0.939297124600639, 0.7332613390928726, 0.6030178927538832, (588, 247, 679, 38)]
iter 5 : [0.5489448281482395, 0.9616613418530351, 0.775377969762419, 0.593141686045308, (602, 208, 718, 24)]
iter 6 : [0.5761240181371726, 0.9712460063897763, 0.8142548596112311, 0.5784955733892726, (608, 172, 754, 18)]
iter 7 : [0.5411605774860706, 0.9472843450479234, 0.7634989200863931, 0.5918927124807651, (593, 219, 707, 33)]
iter 8 : [0.7071067811865475, 1.0, 1.0, 0.5, (626, 0, 926, 0)]
iter 9 : [0.4102239351163153, 0.8769968051118211, 0.5669546436285097, 0.6550210807416557, (549, 401, 525, 77)]
iter 10 : [0.7071067811865475, 1.0, 1.0, 0.5, (626, 0, 926, 0)]
iter 11 : [0.4815689123687455, 0.9376996805111821, 0.6781857451403888, 0.6297569676853967, (587, 298, 628, 39)]
iter 12 : [0.39558779279316547, 0.8706070287539937, 0.5442764578833693, 0.6631652854353122, (545, 422, 504, 81)]
iter 13 : [0.49470372511922506, 0.9345047923322684, 0.6965442764578834, 0.6189802579371925, (585, 281, 645, 41)]
iter 14 : [0.5203622393456959, 0.952076677316294, 0.734341252699784, 0.608867712308255, (596, 246, 680, 30)]
iter 15 : [0.5410839456382363, 0.9488817891373802, 0.7634989200863931, 0.5926914345254936, (594, 219, 707, 32)]
iter 16 : [0.4058329641029688, 0.9041533546325878, 0.5658747300215983, 0.6691393123054947, (566, 402, 524, 60)]
