Run # 0
======
iter 0 : [1.1545764728530203, 0.9047619047619048, 0.3546160483175151, 0.7750729282221948, (95, 748, 411, 10)]
iter 1 : [1.172094337059437, 0.8761904761904762, 0.31924072476272647, 0.7784748757138749, (92, 789, 370, 13)]
iter 2 : [1.1595340292449285, 0.8761904761904762, 0.3382226056945643, 0.7689839352479559, (92, 767, 392, 13)]
iter 3 : [1.171620472290612, 0.9047619047619048, 0.32959447799827435, 0.7875837133818151, (95, 777, 382, 10)]
iter 4 : [1.1850681678563175, 0.9047619047619048, 0.3097497842968076, 0.7975060602325487, (95, 800, 359, 10)]
iter 5 : [1.1655920116116827, 0.8952380952380953, 0.3356341673856773, 0.7798019639262089, (94, 770, 389, 11)]
iter 6 : [1.1522188241803717, 0.9047619047619048, 0.35806729939603105, 0.7733473026829368, (95, 744, 415, 10)]
iter 7 : [1.1451598994920338, 0.8761904761904762, 0.359792924935289, 0.7581987756275935, (92, 742, 417, 13)]
iter 8 : [1.1789052971493965, 0.8761904761904762, 0.3088869715271786, 0.7836517523316489, (92, 801, 358, 13)]
iter 9 : [1.141000145702183, 0.9047619047619048, 0.3744607420189819, 0.7651505813714614, (95, 725, 434, 10)]
iter 10 : [1.1256004632017351, 0.9047619047619048, 0.3968938740293356, 0.7539340153662846, (95, 699, 460, 10)]
iter 11 : [1.1410146035337438, 0.9238095238095239, 0.3787748058671268, 0.7725173589711987, (97, 720, 439, 8)]
iter 12 : [1.1353321848132556, 0.8761904761904762, 0.3744607420189819, 0.7508648670857472, (92, 725, 434, 13)]
iter 13 : [1.1924509147284554, 0.8666666666666667, 0.28386540120793785, 0.7914006327293646, (91, 830, 329, 14)]
iter 14 : [1.1368592104286688, 0.9047619047619048, 0.3805004314063848, 0.76213073667776, (95, 718, 441, 10)]
iter 15 : [1.1145615300405975, 0.9142857142857143, 0.41501294219154444, 0.7496363860470849, (96, 678, 481, 9)]
iter 16 : [1.1777913818101968, 0.8952380952380953, 0.3175150992234685, 0.7888614980073133, (94, 791, 368, 11)]
iter 17 : [0.9878915150431966, 0.9047619047619048, 0.5953408110440035, 0.6547105468589507, (95, 469, 690, 10)]
iter 18 : [1.1755776401795095, 0.8476190476190476, 0.3011216566005177, 0.773248695509265, (89, 810, 349, 16)]
iter 19 : [1.1434066575116322, 0.9238095238095239, 0.37532355478861085, 0.7742429845104565, (97, 724, 435, 8)]
iter 20 : [1.1543708797728915, 0.8761904761904762, 0.3459879206212252, 0.7651012777846256, (92, 758, 401, 13)]
iter 21 : [1.1885645529839095, 0.9047619047619048, 0.30457290767903367, 0.8000944985414356, (95, 806, 353, 10)]
iter 22 : [1.1566707160919265, 0.9333333333333333, 0.35806729939603105, 0.7876330169686512, (98, 744, 415, 7)]
iter 23 : [1.1336924281564833, 0.9428571428571428, 0.3925798101811907, 0.775138666337976, (99, 704, 455, 6)]
iter 24 : [1.1835772492429049, 0.8952380952380953, 0.3088869715271786, 0.7931755618554583, (94, 801, 358, 11)]
iter 25 : [1.1538684743915115, 0.9142857142857143, 0.35806729939603105, 0.7781092074448417, (96, 744, 415, 9)]
iter 26 : [1.1858606441922876, 0.8476190476190476, 0.28472821397756687, 0.7814454168207404, (89, 829, 330, 16)]
iter 27 : [1.1651661614635318, 0.9047619047619048, 0.33908541846419327, 0.7828382431488556, (95, 766, 393, 10)]
iter 28 : [1.139719031254169, 0.6571428571428571, 0.182053494391717, 0.73754468137557, (69, 948, 211, 36)]
iter 29 : [1.1110488952019453, 0.9238095238095239, 0.42191544434857636, 0.7509470397304737, (97, 670, 489, 8)]
Run # 1
======
iter 0 : [1.1704494826838265, 0.9142857142857143, 0.3339085418464193, 0.7901885862196474, (96, 772, 387, 9)]
iter 1 : [1.1732979936400096, 0.8857142857142857, 0.32096635030198445, 0.7823739677061508, (93, 787, 372, 12)]
iter 2 : [1.1891366174034992, 0.8, 0.24762726488352027, 0.7761863675582399, (84, 872, 287, 21)]
iter 3 : [1.1732979936400096, 0.8857142857142857, 0.32096635030198445, 0.7823739677061508, (93, 787, 372, 12)]
iter 4 : [1.1423676670242393, 0.6666666666666666, 0.1915444348576359, 0.7375611159045153, (70, 937, 222, 35)]
iter 5 : [1.177951278117694, 0.7523809523809524, 0.22433132010353754, 0.7640248161387075, (79, 899, 260, 26)]
iter 6 : [1.1122300588964171, 0.9619047619047619, 0.4253666954270923, 0.7682690332388349, (101, 666, 493, 4)]
iter 7 : [1.1742301871821192, 0.7523809523809524, 0.23209663503019845, 0.7601421586753769, (79, 890, 269, 26)]
iter 8 : [1.1692674120745172, 0.9142857142857143, 0.3356341673856773, 0.7893257734500184, (96, 770, 389, 9)]
iter 9 : [1.1083044227829273, 0.8666666666666667, 0.4115616911130285, 0.7275524877768191, (91, 682, 477, 14)]
iter 10 : [1.166174335071438, 0.8952380952380953, 0.33477135461604834, 0.7802333703110235, (94, 771, 388, 11)]
iter 11 : [1.1686762368712982, 0.9142857142857143, 0.3364969801553063, 0.7888943670652039, (96, 769, 390, 9)]
iter 12 : [1.1553533881873985, 0.9238095238095239, 0.35806729939603105, 0.7828711122067464, (97, 744, 415, 8)]
iter 13 : [1.1592178611300488, 0.7047619047619048, 0.2070750647109577, 0.7488434200254735, (74, 919, 240, 31)]
iter 14 : [1.126045896022624, 0.9238095238095239, 0.4003451251078516, 0.7617321993508361, (97, 695, 464, 8)]
iter 15 : [1.1628072202646147, 0.8666666666666667, 0.32959447799827435, 0.7685360943341961, (91, 777, 382, 14)]
