d2h = 0.05861078879014503	pd = 0.08333333333333333	pf = 0.02857142857142857
d2h = 0.11783149685050331	pd = 0.16666666666666666	pf = 0.006802721088435374
d2h = 0.11780087013490426	pd = 0.16666666666666666	pf = 0.010884353741496598
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17538235589218	pd = 0.25	pf = 0.05442176870748299
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2058700390484518	pd = 0.2916666666666667	pf = 0.027210884353741496
d2h = 0.11782285838493967	pd = 0.16666666666666666	pf = 0.00816326530612245
d2h = 0.0588905824049899	pd = 0.08333333333333333	pf = 0.009523809523809525
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11783149685050331	pd = 0.16666666666666666	pf = 0.006802721088435374
d2h = 0.029460050913298508	pd = 0.041666666666666664	pf = 0.0027210884353741495
d2h = -6.544555083420889e-07	pd = 0.0	pf = 0.0013605442176870747
d2h = 0.05891414197083178	pd = 0.08333333333333333	pf = 0.005442176870748299
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08799280879510607	pd = 0.125	pf = 0.031292517006802724
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.02944571000421048	pd = 0.041666666666666664	pf = 0.006802721088435374
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.04159451654038515	pd = 0.058823529411764705	pf = 0.0
d2h = 0.04159451654038515	pd = 0.058823529411764705	pf = 0.0
d2h = 0.04159451654038515	pd = 0.058823529411764705	pf = 0.0
d2h = 0.12478276984887826	pd = 0.17647058823529413	pf = 0.0013477088948787063
d2h = 0.1660078607934261	pd = 0.23529411764705882	pf = 0.02830188679245283
d2h = -0.0002568196956770352	pd = 0.0	pf = 0.026954177897574125
d2h = 0.1663705084164575	pd = 0.23529411764705882	pf = 0.004043126684636119
d2h = 0.08318830529324883	pd = 0.11764705882352941	pf = 0.0013477088948787063
d2h = 0.1663747071506847	pd = 0.23529411764705882	pf = 0.0026954177897574125
d2h = 0.0	pd = 1.0	pf = 1.0
d2h = 0.16632432449154166	pd = 0.23529411764705882	pf = 0.01078167115902965
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08830319923863605	pd = 0.8235294117647058	pf = 0.8571428571428571
d2h = 0.08318248302363884	pd = 0.11764705882352941	pf = 0.004043126684636119
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08318248302363884	pd = 0.11764705882352941	pf = 0.004043126684636119
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0963867225963212	pd = 0.13636363636363635	pf = 0.009497964721845319
d2h = 0.06423661231882072	pd = 0.09090909090909091	pf = 0.010854816824966078
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.10306752593769575	pd = 0.9090909090909091	pf = 0.8493894165535957
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06427599069016687	pd = 0.09090909090909091	pf = 0.004070556309362279
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1605848013562703	pd = 0.22727272727272727	pf = 0.016282225237449117
d2h = 0.1285640737521977	pd = 0.18181818181818182	pf = 0.0013568521031207597
d2h = 0.28895273272832445	pd = 0.4090909090909091	pf = 0.023066485753052916
d2h = 0.1602985400867426	pd = 0.22727272727272727	pf = 0.029850746268656716
d2h = 0.3525342347720523	pd = 0.5	pf = 0.037991858887381276
d2h = 0.1604627010111903	pd = 0.22727272727272727	pf = 0.023066485753052916
d2h = 0.032813910161478166	pd = 0.9545454545454546	pf = 0.9525101763907734
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.09659419672623848	pd = 0.5454545454545454	pf = 0.7340569877883311
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0642824346533225	pd = 0.09090909090909091	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -5.8264879134739544e-06	pd = 0.0	pf = 0.0040595399188092015
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07070780083532291	pd = 0.1	pf = 0.0027063599458728013
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07069269531125077	pd = 0.1	pf = 0.006765899864682003
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.10604697659095708	pd = 0.15	pf = 0.006765899864682003
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -6.473899167858121e-07	pd = 0.0	pf = 0.0013531799729364006
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.10601727447955711	pd = 0.15	pf = 0.010825439783491205
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -5.8264879134739544e-06	pd = 0.0	pf = 0.0040595399188092015
d2h = 0.10604697659095708	pd = 0.15	pf = 0.006765899864682003
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.03535533905932742	pd = 0.05	pf = 0.0
d2h = 0.16286976113238072	pd = 0.23076923076923078	pf = 0.02592087312414734
d2h = 0.10877321598530976	pd = 0.15384615384615385	pf = 0.005457025920873124
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.05436716657596741	pd = 0.07692307692307693	pf = 0.008185538881309686
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.027196414661021073	pd = 0.038461538461538464	pf = 0.0
d2h = 0.1628013689158332	pd = 0.23076923076923078	pf = 0.0286493860845839
d2h = 0.05439211645436004	pd = 0.07692307692307693	pf = 0.001364256480218281
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 1.0	pf = 1.0
d2h = -2.632123364154637e-06	pd = 0.0	pf = 0.002728512960436562
d2h = 0.16286976113238072	pd = 0.23076923076923078	pf = 0.02592087312414734
d2h = 0.16286976113238072	pd = 0.23076923076923078	pf = 0.02592087312414734
d2h = 0.027193677253137927	pd = 0.038461538461538464	pf = 0.002728512960436562
d2h = 0.05438997785598543	pd = 0.07692307692307693	pf = 0.002728512960436562
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.16286976113238072	pd = 0.23076923076923078	pf = 0.02592087312414734
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.13562290073656091	pd = 0.19230769230769232	pf = 0.0286493860845839
d2h = -6.580317596371899e-07	pd = 0.0	pf = 0.001364256480218281
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.08838161613945061	pd = 0.125	pf = 0.004081632653061225
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11784406211738774	pd = 0.16666666666666666	pf = 0.004081632653061225
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.02946278254943946	pd = 0.041666666666666664	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.20597253101233293	pd = 0.2916666666666667	pf = 0.02312925170068027
d2h = 0.17658039488334798	pd = 0.25	pf = 0.02040816326530612
d2h = 0.17658039488334798	pd = 0.25	pf = 0.02040816326530612
d2h = 0.17658039488334798	pd = 0.25	pf = 0.02040816326530612
d2h = 0.14730068600706325	pd = 0.20833333333333334	pf = 0.005442176870748299
d2h = 0.1472469555885939	pd = 0.20833333333333334	pf = 0.012244897959183673
d2h = 0.20597253101233293	pd = 0.2916666666666667	pf = 0.02312925170068027
d2h = 0.11785034485130774	pd = 0.16666666666666666	pf = 0.0013605442176870747
d2h = 0.1699957376773361	pd = 0.2413793103448276	pf = 0.038356164383561646
d2h = -6.634513506353912e-07	pd = 0.0	pf = 0.0013698630136986301
d2h = 0.14628457047183085	pd = 0.20689655172413793	pf = 0.005479452054794521
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.048765272313573305	pd = 0.06896551724137931	pf = 0.0013698630136986301
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.048759571574590876	pd = 0.06896551724137931	pf = 0.00410958904109589
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17063809594852353	pd = 0.2413793103448276	pf = 0.009589041095890411
d2h = 0.1218861028378716	pd = 0.1724137931034483	pf = 0.00821917808219178
d2h = 0.014372282976313877	pd = 0.8275862068965517	pf = 0.9643835616438357
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1462569664517105	pd = 0.20689655172413793	pf = 0.009589041095890411
d2h = 0.09752889141089638	pd = 0.13793103448275862	pf = 0.0027397260273972603
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0731482373607808	pd = 0.10344827586206896	pf = 0.0013698630136986301
