d2h = 0.19503691102777587	pd = 0.27586206896551724	pf = 0.00744047619047619
d2h = 0.44617149373447923	pd = 0.632183908045977	pf = 0.02976190476190476
d2h = 0.4222573534606762	pd = 0.5977011494252874	pf = 0.020833333333333332
d2h = 0.4055724564843513	pd = 0.5747126436781609	pf = 0.03125
d2h = 0.3977379530373595	pd = 0.5632183908045977	pf = 0.025297619047619048
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.41375502694225097	pd = 0.5862068965517241	pf = 0.02976190476190476
d2h = 0.09742208930560436	pd = 0.13793103448275862	pf = 0.01636904761904762
d2h = 0.33238229643475115	pd = 0.47126436781609193	pf = 0.03571428571428571
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.16247094260792128	pd = 0.22988505747126436	pf = 0.013392857142857142
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4138984875187596	pd = 0.5862068965517241	pf = 0.026785714285714284
d2h = 0.43814977161233043	pd = 0.6206896551724138	pf = 0.028273809523809524
d2h = 0.01798994670407983	pd = 0.034482758620689655	pf = 0.1324404761904762
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.11371172450403844	pd = 0.16091954022988506	pf = 0.013392857142857142
d2h = 0.40578734110923115	pd = 0.5747126436781609	pf = 0.026785714285714284
d2h = 0.389623539075131	pd = 0.5517241379310345	pf = 0.025297619047619048
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4300439346252069	pd = 0.6091954022988506	pf = 0.028273809523809524
d2h = 0.3979044187205542	pd = 0.5632183908045977	pf = 0.020833333333333332
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.47219661344645214	pd = 0.6694214876033058	pf = 0.032915360501567396
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3531003642250774	pd = 0.5041322314049587	pf = 0.06896551724137931
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4259695397280753	pd = 0.6033057851239669	pf = 0.02664576802507837
d2h = 0.36102301604701387	pd = 0.512396694214876	pf = 0.04231974921630094
d2h = 0.20429554821073348	pd = 0.2892561983471074	pf = 0.0219435736677116
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.14022549794701833	pd = 0.19834710743801653	pf = 0.007836990595611285
d2h = 0.4663808137424259	pd = 0.6611570247933884	pf = 0.032915360501567396
d2h = 0.46648544319633556	pd = 0.6611570247933884	pf = 0.03134796238244514
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.46648544319633556	pd = 0.6611570247933884	pf = 0.03134796238244514
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.460763062437479	pd = 0.6528925619834711	pf = 0.029780564263322883
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3905978680209406	pd = 0.5537190082644629	pf = 0.034482758620689655
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4263418776512053	pd = 0.6057692307692307	pf = 0.04732824427480916
d2h = 0.43997125392588987	pd = 0.625	pf = 0.04580152671755725
d2h = 0.4592728769375427	pd = 0.6538461538461539	pf = 0.0549618320610687
d2h = 0.35968094909733334	pd = 0.5096153846153846	pf = 0.030534351145038167
d2h = 0.36540086921687587	pd = 0.5192307692307693	pf = 0.04885496183206107
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.47396937796630584	pd = 0.6730769230769231	pf = 0.042748091603053436
d2h = 0.42682379821531186	pd = 0.6057692307692307	pf = 0.04122137404580153
d2h = 0.44022441071623797	pd = 0.625	pf = 0.042748091603053436
d2h = 0.3926756484052854	pd = 0.5576923076923077	pf = 0.04580152671755725
d2h = 0.1970357544319693	pd = 0.27884615384615385	pf = 0.016793893129770993
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07477539555752177	pd = 0.10576923076923077	pf = 0.0061068702290076335
d2h = 0.43941341026231057	pd = 0.625	pf = 0.051908396946564885
d2h = 0.4592728769375427	pd = 0.6538461538461539	pf = 0.0549618320610687
d2h = 0.4257944895333742	pd = 0.6057692307692307	pf = 0.05343511450381679
d2h = 0.4272399130272531	pd = 0.6057692307692307	pf = 0.035114503816793895
d2h = 0.4389501513617551	pd = 0.625	pf = 0.05648854961832061
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4940221609095465	pd = 0.7019230769230769	pf = 0.044274809160305344
d2h = -3.296335332581002e-06	pd = 0.0	pf = 0.0030534351145038168
d2h = 0.44847259220561336	pd = 0.6363636363636364	pf = 0.03939393939393939
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.46988756434031753	pd = 0.6666666666666666	pf = 0.03787878787878788
d2h = 0.476586769986396	pd = 0.6767676767676768	pf = 0.04242424242424243
d2h = 0.4207569516510425	pd = 0.5959595959595959	pf = 0.02727272727272727
d2h = 0.21397675085621926	pd = 0.30303030303030304	pf = 0.024242424242424242
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.36383884764700086	pd = 0.5151515151515151	pf = 0.024242424242424242
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.4133175523011428	pd = 0.5858585858585859	pf = 0.03333333333333333
d2h = 0.3348081582145161	pd = 0.47474747474747475	pf = 0.03636363636363636
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.46278941501976767	pd = 0.6565656565656566	pf = 0.03787878787878788
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.36372517501582957	pd = 0.5151515151515151	pf = 0.02727272727272727
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.47672374307265625	pd = 0.6767676767676768	pf = 0.04090909090909091
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.37825010071394666	pd = 0.5368421052631579	pf = 0.04216867469879518
d2h = 0.3417671962830002	pd = 0.4842105263157895	pf = 0.030120481927710843
d2h = 0.4600416199371242	pd = 0.6526315789473685	pf = 0.03765060240963856
d2h = 0.49672230308966353	pd = 0.7052631578947368	pf = 0.04066265060240964
d2h = 0.49626192849245476	pd = 0.7052631578947368	pf = 0.045180722891566265
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
