d2h = 0.26300490142506666	pd = 0.375	pf = 0.0618705035971223
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.27590619915043185	pd = 0.390625	pf = 0.02302158273381295
d2h = 0.044194173824159244	pd = 0.0625	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.23128353190813167	pd = 0.328125	pf = 0.03741007194244604
d2h = 0.30867144677904934	pd = 0.4375	pf = 0.033093525179856115
d2h = 0.2980259028606102	pd = 0.421875	pf = 0.02158273381294964
d2h = 0.30867144677904934	pd = 0.4375	pf = 0.033093525179856115
d2h = 0.19880861041574271	pd = 0.28125	pf = 0.011510791366906475
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2760682705768426	pd = 0.390625	pf = 0.015827338129496403
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1817061620166155	pd = 0.2571428571428571	pf = 0.015965166908563134
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.20182618799064722	pd = 0.2857142857142857	pf = 0.020319303338171262
d2h = 0.25059482439983954	pd = 0.35714285714285715	pf = 0.059506531204644414
d2h = 0.10101177891676327	pd = 0.14285714285714285	pf = 0.002902757619738752
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.010074326032049274	pd = 0.014285714285714285	pf = 0.008708272859216255
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.19184619028761163	pd = 0.2714285714285714	pf = 0.013062409288824383
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.18174625677007294	pd = 0.2571428571428571	pf = 0.013062409288824383
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.20192625321776936	pd = 0.2857142857142857	pf = 0.01451378809869376
d2h = 0.16156262309982128	pd = 0.22857142857142856	pf = 0.011611030478955007
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.21192354535957175	pd = 0.3	pf = 0.020319303338171262
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1448488506456389	pd = 0.20634920634920634	pf = 0.04885057471264368
d2h = 0.20085068972570952	pd = 0.2857142857142857	pf = 0.04885057471264368
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0672918774223763	pd = 0.09523809523809523	pf = 0.011494252873563218
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.06732333624474407	pd = 0.09523809523809523	pf = 0.007183908045977011
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.21174771632808104	pd = 0.30158730158730157	pf = 0.05459770114942529
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -2.919413568003293e-06	pd = 0.0	pf = 0.0028735632183908046
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17831629690572937	pd = 0.25396825396825395	pf = 0.05172413793103448
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07840650772428082	pd = 0.1111111111111111	pf = 0.020114942528735632
d2h = -6.568663578176981e-06	pd = 0.0	pf = 0.004310344827586207
d2h = 0.033499345334119024	pd = 0.047619047619047616	pf = 0.021551724137931036
d2h = 0.14557903943853945	pd = 0.20634920634920634	pf = 0.027298850574712645
d2h = 0.12331367011444283	pd = 0.1746031746031746	pf = 0.01867816091954023
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.24339087087453742	pd = 0.3448275862068966	pf = 0.028530670470756064
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.20688814444900538	pd = 0.29310344827586204	pf = 0.02710413694721826
d2h = 0.26754574627508854	pd = 0.3793103448275862	pf = 0.034236804564907276
d2h = 0.1947053870615144	pd = 0.27586206896551724	pf = 0.02710413694721826
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17052069050913454	pd = 0.2413793103448276	pf = 0.018544935805991442
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.17062025263336422	pd = 0.2413793103448276	pf = 0.011412268188302425
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2676522402960032	pd = 0.3793103448275862	pf = 0.03138373751783167
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.26754574627508854	pd = 0.3793103448275862	pf = 0.034236804564907276
d2h = 0.15839672576163055	pd = 0.22413793103448276	pf = 0.014265335235378032
d2h = 0.25557051248061424	pd = 0.3620689655172414	pf = 0.028530670470756064
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.010701778993503108	pd = 0.015151515151515152	pf = 0.005772005772005772
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.010710749060784175	pd = 0.015151515151515152	pf = 0.002886002886002886
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.010713739108887066	pd = 0.015151515151515152	pf = 0.0
d2h = 0.0321381323568235	pd = 0.045454545454545456	pf = 0.002886002886002886
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1708603796651772	pd = 0.24242424242424243	pf = 0.03463203463203463
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = -1.1778904556392078e-05	pd = 0.0	pf = 0.005772005772005772
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.14871463001877083	pd = 0.21212121212121213	pf = 0.05339105339105339
d2h = 0.07491382592953844	pd = 0.10606060606060606	pf = 0.01443001443001443
d2h = 0.23384960373755403	pd = 0.3333333333333333	pf = 0.05916305916305916
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1704867695593386	pd = 0.24242424242424243	pf = 0.044733044733044736
d2h = -7.361872831346261e-07	pd = 0.0	pf = 0.001443001443001443
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.19261959631372472	pd = 0.2727272727272727	pf = 0.021645021645021644
d2h = 0.3028599647093626	pd = 0.4696969696969697	pf = 0.21356421356421357
d2h = 0.14949827321999454	pd = 0.21212121212121213	pf = 0.03318903318903319
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2034576741341102	pd = 0.2878787878787879	pf = 0.01443001443001443
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.02142444145037503	pd = 0.030303030303030304	pf = 0.002886002886002886
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.27746536903764685	pd = 0.3939393939393939	pf = 0.04329004329004329
d2h = 0.26663162480351404	pd = 0.3787878787878788	pf = 0.046176046176046176
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2243669905743556	pd = 0.3181818181818182	pf = 0.03463203463203463
d2h = 0.3116806110394761	pd = 0.4696969696969697	pf = 0.1774891774891775
d2h = 0.3962044265003026	pd = 0.7272727272727273	pf = 0.3448773448773449
d2h = 0.3697714355137925	pd = 0.6363636363636364	pf = 0.3088023088023088
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.09641001328709586	pd = 0.13636363636363635	pf = 0.005772005772005772
d2h = 0.18198682860068494	pd = 0.2878787878787879	pf = 0.2106782106782107
d2h = 0.0	pd = 1.0	pf = 1.0
d2h = 0.13009952553174486	pd = 0.18421052631578946	pf = 0.01903367496339678
d2h = 0.24100264871820054	pd = 0.34210526315789475	pf = 0.040995607613469986
