d2h = 0.03213831928003841	pd = 0.045454545454545456	pf = 0.002797202797202797
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3051663285831867	pd = 0.4318181818181818	pf = 0.016783216783216783
d2h = 0.22784793309502965	pd = 0.3409090909090909	pf = 0.15804195804195803
d2h = 0.3692532521376247	pd = 0.5227272727272727	pf = 0.022377622377622378
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.24095421226007574	pd = 0.3409090909090909	pf = 0.013986013986013986
d2h = 0.1285437380572314	pd = 0.18181818181818182	pf = 0.006993006993006993
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.35319947836328314	pd = 0.5	pf = 0.022377622377622378
d2h = 0.28900770618144395	pd = 0.4090909090909091	pf = 0.02097902097902098
d2h = 0.25691678212121083	pd = 0.36363636363636365	pf = 0.019580419580419582
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.32119795797216344	pd = 0.45454545454545453	pf = 0.01818181818181818
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.3692532521376247	pd = 0.5227272727272727	pf = 0.022377622377622378
d2h = 0.35319947836328314	pd = 0.5	pf = 0.022377622377622378
d2h = 0.33714424278828753	pd = 0.4772727272727273	pf = 0.022377622377622378
d2h = 0.35319947836328314	pd = 0.5	pf = 0.022377622377622378
d2h = 0.3530544213583342	pd = 0.5	pf = 0.026573426573426574
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2569732709634455	pd = 0.36363636363636365	pf = 0.016783216783216783
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2891024569956364	pd = 0.4090909090909091	pf = 0.016783216783216783
d2h = 0.26495062163889005	pd = 0.375	pf = 0.019471488178025034
d2h = 0.22963850447036588	pd = 0.325	pf = 0.01808066759388039
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.22940459741567953	pd = 0.325	pf = 0.027816411682892908
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.26495062163889005	pd = 0.375	pf = 0.019471488178025034
