d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.025707261326578856	pd = 0.03636363636363636	pf = 0.003945885005636978
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.051408501677057905	pd = 0.07272727272727272	pf = 0.006764374295377677
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.03851706110518083	pd = 0.05454545454545454	pf = 0.011837655016910935
d2h = 0.025707261326578856	pd = 0.03636363636363636	pf = 0.003945885005636978
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.025707261326578856	pd = 0.03636363636363636	pf = 0.003945885005636978
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.15385898688296917	pd = 0.21818181818181817	pf = 0.030439684329199548
d2h = 0.14112428580262792	pd = 0.2	pf = 0.02593010146561443
d2h = 0.14112428580262792	pd = 0.2	pf = 0.02593010146561443
d2h = 0.14112428580262792	pd = 0.2	pf = 0.02593010146561443
d2h = 0.15385898688296917	pd = 0.21818181818181817	pf = 0.030439684329199548
d2h = 0.07707789223875117	pd = 0.10909090909090909	pf = 0.012401352874859075
d2h = 0.038539042333155304	pd = 0.05454545454545454	pf = 0.009019165727170236
d2h = 0.15385898688296917	pd = 0.21818181818181817	pf = 0.030439684329199548
