d2h = 0.5587714322334947	pd = 0.8553459119496856	pf = 0.15192743764172337
d2h = 0.5908711560367303	pd = 0.9036544850498339	pf = 0.1331877729257642
d2h = 0.051653129661691666	pd = 0.07308970099667775	pf = 0.008733624454148471
d2h = 0.12027203060086544	pd = 0.31561461794019935	pf = 0.46943231441048033
d2h = 0.5955038869063264	pd = 0.8903654485049833	pf = 0.11353711790393013
d2h = 0.31952348298992794	pd = 0.9900332225913622	pf = 0.5480349344978166
d2h = 0.31952348298992794	pd = 0.9900332225913622	pf = 0.5480349344978166
d2h = 0.31952348298992794	pd = 0.9900332225913622	pf = 0.5480349344978166
d2h = 0.5755037493467212	pd = 0.8970099667774086	pf = 0.15502183406113537
d2h = 0.593358598417885	pd = 0.9036544850498339	pf = 0.12882096069868995
d2h = 0.5522651230603706	pd = 0.8770764119601329	pf = 0.1812227074235808
d2h = 0.5827263189384859	pd = 0.8903654485049833	pf = 0.13755458515283842
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.47780988088263143	pd = 0.6877076411960132	pf = 0.08733624454148471
d2h = 0.5911066481158074	pd = 0.8837209302325582	pf = 0.11572052401746726
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5911066481158074	pd = 0.8837209302325582	pf = 0.11572052401746726
d2h = 0.47434308717980517	pd = 0.9269102990033222	pf = 0.32096069868995636
d2h = 0.5244884409900119	pd = 0.9169435215946844	pf = 0.2445414847161572
d2h = 0.37652485078654846	pd = 0.5481727574750831	pf = 0.12008733624454149
d2h = 0.42730905376417516	pd = 0.6578073089700996	pf = 0.19868995633187772
d2h = 0.607195759655992	pd = 0.9102990033222591	pf = 0.1091703056768559
d2h = 0.5908562669120438	pd = 0.8770764119601329	pf = 0.1091703056768559
d2h = 0.5998533521674985	pd = 0.8970099667774086	pf = 0.11135371179039301
d2h = 0.4341567353022174	pd = 0.9006211180124224	pf = 0.37299771167048057
d2h = 0.5735447033595116	pd = 0.8571428571428571	pf = 0.12356979405034325
d2h = 0.5662887817038712	pd = 0.860248447204969	pf = 0.14187643020594964
d2h = 0.48112914255657835	pd = 0.7919254658385093	pf = 0.2425629290617849
d2h = 0.5048654258293953	pd = 0.7298136645962733	pf = 0.09382151029748284
d2h = 0.5705120045828733	pd = 0.8478260869565217	pf = 0.11899313501144165
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.552908969303012	pd = 0.8571428571428571	pf = 0.16475972540045766
d2h = 0.4949618115966838	pd = 0.7142857142857143	pf = 0.09153318077803203
d2h = 0.4341567353022174	pd = 0.9006211180124224	pf = 0.37299771167048057
d2h = 0.5730321565404639	pd = 0.860248447204969	pf = 0.12814645308924486
d2h = 0.5580652993862185	pd = 0.8229813664596274	pf = 0.11441647597254005
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5665130246092722	pd = 0.8540372670807453	pf = 0.13501144164759726
d2h = 0.4634167073690495	pd = 0.7670807453416149	pf = 0.2540045766590389
d2h = 0.5766719985778518	pd = 0.8695652173913043	pf = 0.13043478260869565
d2h = 0.5800536477617406	pd = 0.8788819875776398	pf = 0.13272311212814644
d2h = 0.49505637878249387	pd = 0.9099378881987578	pf = 0.28604118993135014
d2h = 0.5739744116702674	pd = 0.8664596273291926	pf = 0.13272311212814644
d2h = 0.5416163845738622	pd = 0.8012422360248447	pf = 0.12356979405034325
d2h = 0.5773506668767245	pd = 0.8664596273291926	pf = 0.12585812356979406
d2h = 0.5544566876584907	pd = 0.8198757763975155	pf = 0.11899313501144165
d2h = 0.555483328922886	pd = 0.8571428571428571	pf = 0.15990990990990991
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5882508206630441	pd = 0.8888888888888888	pf = 0.12612612612612611
d2h = 0.5354493683558849	pd = 0.8063492063492064	pf = 0.1463963963963964
d2h = 0.4907403627208986	pd = 0.9111111111111111	pf = 0.2927927927927928
d2h = 0.5887019283546245	pd = 0.8952380952380953	pf = 0.13063063063063063
d2h = 0.3970938127304902	pd = 0.9428571428571428	pf = 0.4346846846846847
d2h = 0.49272858712830037	pd = 0.7396825396825397	pf = 0.1554054054054054
d2h = 0.5938267819097339	pd = 0.8984126984126984	pf = 0.12387387387387387
d2h = 0.5944863814639565	pd = 0.8920634920634921	pf = 0.11711711711711711
d2h = 0.49709869232983067	pd = 0.7142857142857143	pf = 0.08108108108108109
d2h = 0.5615117200956105	pd = 0.8507936507936508	pf = 0.14189189189189189
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.5939854770470261	pd = 0.9015873015873016	pf = 0.12612612612612611
d2h = 0.5921239377023982	pd = 0.8920634920634921	pf = 0.12162162162162163
d2h = 0.5284884946530638	pd = 0.9174603174603174	pf = 0.23873873873873874
d2h = 0.5966905544295438	pd = 0.9079365079365079	pf = 0.12612612612612611
d2h = 0.2609146331753705	pd = 0.38412698412698415	pf = 0.1373873873873874
d2h = 0.4733182942489743	pd = 0.8507936507936508	pf = 0.29504504504504503
d2h = 0.5811056086118642	pd = 0.8952380952380953	pf = 0.14414414414414414
d2h = 0.5863970823086218	pd = 0.8825396825396825	pf = 0.12387387387387387
