d2h = 0.10876688877621843	pd = 0.15384615384615385	pf = 0.006702412868632708
d2h = 0.21752635438651957	pd = 0.3076923076923077	pf = 0.00938337801608579
d2h = 0.10878265542565668	pd = 0.15384615384615385	pf = 0.002680965147453083
d2h = 0.1087789014238204	pd = 0.15384615384615385	pf = 0.004021447721179625
d2h = 0.16316527393239044	pd = 0.23076923076923078	pf = 0.005361930294906166
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.10446460360813159	pd = 0.15384615384615385	pf = 0.10187667560321716
d2h = 0.16317105503265028	pd = 0.23076923076923078	pf = 0.004021447721179625
d2h = 0.1087789014238204	pd = 0.15384615384615385	pf = 0.004021447721179625
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.054392829322042036	pd = 0.07692307692307693	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.12191416060333371	pd = 0.1724137931034483	pf = 0.0013698630136986301
d2h = 0.07314897736412562	pd = 0.10344827586206896	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.048765272313573305	pd = 0.06896551724137931	pf = 0.0013698630136986301
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.07314897736412562	pd = 0.10344827586206896	pf = 0.0
d2h = 0.07314897736412562	pd = 0.10344827586206896	pf = 0.0
d2h = 0.14629795472825113	pd = 0.20689655172413793	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1216256306558211	pd = 0.1724137931034483	pf = 0.026027397260273973
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.04876598490941708	pd = 0.06896551724137931	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.04876598490941708	pd = 0.06896551724137931	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.31076672756898427	pd = 0.5862068965517241	pf = 0.3780821917808219
d2h = 0.03332603183215488	pd = 0.7931034482758621	pf = 0.9301369863013699
d2h = 0.09003518094052343	pd = 0.13793103448275862	pf = 0.13561643835616438
d2h = 0.18651482780933515	pd = 0.27586206896551724	pf = 0.13287671232876713
d2h = 0.16410182446524824	pd = 0.2413793103448276	pf = 0.11917808219178082
d2h = 0.1706774489946946	pd = 0.2413793103448276	pf = 0.0027397260273972603
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.29258572364731306	pd = 0.41379310344827586	pf = 0.00410958904109589
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.048765272313573305	pd = 0.06896551724137931	pf = 0.0013698630136986301
d2h = 0.14629042604471054	pd = 0.20689655172413793	pf = 0.00410958904109589
d2h = 0.09753196981883416	pd = 0.13793103448275862	pf = 0.0
d2h = 0.02438299245470854	pd = 0.034482758620689655	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.24382992454708535	pd = 0.3448275862068966	pf = 0.0
d2h = 0.19506393963766822	pd = 0.27586206896551724	pf = 0.0
d2h = 0.14629795472825113	pd = 0.20689655172413793	pf = 0.0
d2h = 0.24381372264244283	pd = 0.3448275862068966	pf = 0.005479452054794521
d2h = 0.17067307629144302	pd = 0.2413793103448276	pf = 0.00410958904109589
d2h = 0.04876598490941708	pd = 0.06896551724137931	pf = 0.0
d2h = 0.18448668638188992	pd = 0.27586206896551724	pf = 0.14794520547945206
d2h = 0.14629711820286662	pd = 0.20689655172413793	pf = 0.0013698630136986301
d2h = 0.17068094718295979	pd = 0.2413793103448276	pf = 0.0
d2h = 0.1950053065049251	pd = 0.27586206896551724	pf = 0.010958904109589041
d2h = 0.026189140043946124	pd = 0.037037037037037035	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.026178176783106855	pd = 0.037037037037037035	pf = 0.00546448087431694
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1568286695502723	pd = 0.2222222222222222	pf = 0.025956284153005466
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.1047534618459649	pd = 0.14814814814814814	pf = 0.00273224043715847
d2h = -6.598308879279813e-07	pd = 0.0	pf = 0.001366120218579235
d2h = -6.598308879279813e-07	pd = 0.0	pf = 0.001366120218579235
d2h = 0.0	pd = 0.0	pf = 0.0
d2h = 0.2615886408633614	pd = 0.37037037037037035	pf = 0.023224043715846996
d2h = 0.2615886408633614	pd = 0.37037037037037035	pf = 0.023224043715846996
d2h = 0.2615886408633614	pd = 0.37037037037037035	pf = 0.023224043715846996
